prioridad,tiempo_resolucion_horas,reaperturas_contador,costo_reparacion_usd,satisfaccion_cliente,encuesta_respondida,carga_tecnico,ticket_reabierto,costo_por_hora_resolucion,canal_ingreso_Correo Electrónico,canal_ingreso_Llamada Telefónica,canal_ingreso_Portal Web,canal_ingreso_Presencial,departamento_solicitante_Legal,departamento_solicitante_Marketing,departamento_solicitante_Operaciones,departamento_solicitante_Recursos Humanos,departamento_solicitante_TI,departamento_solicitante_Ventas,ubicacion_usuario_Remoto,ubicacion_usuario_Sede Central,ubicacion_usuario_Sucursal Norte,ubicacion_usuario_Sucursal Sur,categoria_ERP,categoria_Hardware,categoria_Impresoras,categoria_Redes,categoria_Seguridad,categoria_Software,subcategoria_Contraseña,subcategoria_Disco Duro,subcategoria_ERP Login,subcategoria_Office 365,subcategoria_Pantalla,subcategoria_VPN,subcategoria_Wi-Fi,tecnico_asignado_Carlos Ruiz,tecnico_asignado_Elena Diaz,tecnico_asignado_Jorge Soto,tecnico_asignado_Luis Perez,tecnico_asignado_Maria Lopez,franja_horaria_ingreso_Mañana,franja_horaria_ingreso_Noche,franja_horaria_ingreso_Tarde,dia_semana_ingreso_Jueves,dia_semana_ingreso_Lunes,dia_semana_ingreso_Martes,dia_semana_ingreso_Miércoles,dia_semana_ingreso_Sábado,dia_semana_ingreso_Viernes,rango_tiempo_resolucion_Normal,rango_tiempo_resolucion_Lento,rango_tiempo_resolucion_Crítico,sla_cumplido
3.0,-0.90166032633457,0,-1.3965157124696048,-0.45597753351432074,1,-1.465529287633126,0,-0.10936362893763761,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,-0.9469872205263228,0,1.4119960888097831,-2.217939638936468,1,-1.465529287633126,0,0.07476647197265342,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2.4798592947648697,0,-0.198236493411852,0.425003519196753,0,-0.1294095338917753,0,-0.12618686650887753,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
0.0,-0.6676935636683167,2,0.8725789453526023,-0.45597753351432074,1,1.1430854696714159,1,-0.05913993850037747,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
1.0,-0.4910519907151623,0,-1.3136343342037744,1.3059845719078267,1,-1.465529287633126,0,-0.12182875761159254,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
3.0,-0.33540743492436403,0,0.9135109762073519,-1.3369585862253945,1,-1.465529287633126,0,-0.0881705671226146,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
3.0,2.23389423657727,0,-1.673644710844378,1.3059845719078267,1,-1.465529287633126,0,-0.13144705708651455,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1
3.0,-0.23475506693973663,2,-0.8040185816320694,0.425003519196753,1,1.4612092205622138,1,-0.11743550267481331,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3.0,-0.38606690490338197,0,-1.4772427733220275,0.425003519196753,0,-0.1294095338917753,0,-0.12602285165790444,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
1.0,1.1673790791242635,2,0.8140533222883554,0.425003519196753,1,-0.320283784426254,1,-0.11716604970535752,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
0.0,0.6434535080254739,1,1.5133686915406974,-0.45597753351432074,1,1.4612092205622138,1,-0.10774691112090286,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2.0,-0.07444450733508146,0,-0.016256514129259617,0.425003519196753,1,-0.320283784426254,0,-0.11006654972752229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
3.0,-0.8643322958237148,2,0.35548292398434217,-1.3369585862253945,1,-0.1294095338917753,1,-0.03273354749370978,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
0.0,0.003544413553669555,1,-0.05353817381128995,-1.3369585862253945,1,-0.1294095338917753,1,-0.111976151206709,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.0,-0.5957037905402387,0,0.11677258614867587,0.425003519196753,1,-0.1294095338917753,0,-0.08633125772241637,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2.0,2.4798592947648697,1,-0.2800407129709782,-0.45597753351432074,1,-1.465529287633126,1,-0.12647975017132948,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2.0,2.4798592947648697,0,-1.382811860034316,0.425003519196753,1,1.4612092205622138,0,-0.13043953728767985,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2.0,-1.0696364636334186,0,0.5540391789201006,0.425003519196753,1,1.4612092205622138,0,0.2476029788587973,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,-0.8110065379510645,0,-1.1664824864379428,1.3059845719078267,1,-0.7020322854952114,0,-0.10658709181759315,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
3.0,-0.19042803070809597,0,-0.5607003982177254,-1.3369585862253945,1,1.4612092205622138,0,-0.11481126505924386,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
0.0,-1.1456256686019455,0,1.5374850781407916,0.425003519196753,0,-0.1294095338917753,0,7.195764110631861,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1.0,-0.8943280346270807,0,-0.6374778771455668,0.425003519196753,0,-0.7020322854952114,0,-0.07151134440234778,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1.0,-0.5770397752848111,0,1.3619082089480503,0.425003519196753,1,-1.465529287633126,0,-0.05953826028131212,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
2.0,0.9187477330430313,1,-1.5167385925678383,0.425003519196753,1,1.1430854696714159,1,-0.13007636154623942,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
0.0,-0.5163817257046713,0,1.074007623506238,-0.45597753351432074,1,1.1430854696714159,0,-0.07237828004320555,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.0,-0.2797486751447853,1,1.7036068875746868,-0.45597753351432074,1,-1.465529287633126,1,-0.0791497503190946,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1
2.0,0.9714069189422736,0,-0.7205387818625144,0.425003519196753,1,-0.1294095338917753,0,-0.12522620809603516,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.0,0.22151344885812807,0,-0.5611791354207049,1.3059845719078267,1,-1.465529287633126,0,-0.11998944821139432,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1
3.0,-0.5343791689866908,0,-1.694709147775477,-0.45597753351432074,1,-0.320283784426254,0,-0.12917427986588742,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
1.0,-0.9489869364465473,1,-0.2942233026092467,1.3059845719078267,1,1.4612092205622138,1,-0.033073292542154055,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0.0,-0.3104109859215593,0,0.5244173144857421,-2.217939638936468,1,1.4612092205622138,0,-0.09551608937690949,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3.0,-0.9336557810581603,2,0.018751143838618003,-0.45597753351432074,1,-0.1294095338917753,1,-0.021299369311585707,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
1.0,0.505473109529991,0,0.8060943162888209,0.425003519196753,1,1.1430854696714159,0,-0.11128494576332239,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
2.0,0.18618513426749714,1,-0.5776955689234986,-1.3369585862253945,1,-0.7020322854952114,1,-0.11982543336042122,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
0.0,-0.24042092871370568,1,1.655015061472265,0.425003519196753,1,-0.1294095338917753,1,-0.08212544832960639,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
0.0,2.153239027794887,2,0.47959554385678427,-2.217939638936468,1,1.4612092205622138,1,-0.12293000018241186,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.0,-0.4650556837522452,0,-1.4192557296111323,-1.3369585862253945,1,-0.1294095338917753,0,-0.12423040364369851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0,-0.5830389230454842,0,1.4009252909908816,0.425003519196753,1,1.1430854696714159,0,-0.05787468107858505,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
2.0,0.6354546443445762,0,-1.379281173162342,1.3059845719078267,1,1.4612092205622138,0,-0.1287525273919566,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
3.0,-0.6630275598544597,0,-0.008596718881587365,0.425003519196753,0,-0.320283784426254,0,-0.08337899040490074,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
1.0,2.3145494453596545,0,1.6481930563298068,0.425003519196753,1,-0.1294095338917753,0,-0.11895849771956345,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
0.0,-0.9843152510371781,0,-1.6812446639416778,0.425003519196753,0,-0.1294095338917753,0,-0.12035262395283473,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1.0,0.21418115715063846,0,1.509060056713882,1.3059845719078267,1,-0.320283784426254,0,-0.10014365124365028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
2.0,-0.40939692397266647,0,1.0725115697469267,0.425003519196753,1,-0.7020322854952114,0,-0.08100077506579091,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1
2.0,0.5847951743655585,0,-0.6741012731735005,-1.3369585862253945,1,-1.465529287633126,0,-0.12336346800284076,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
2.0,-0.42772765324139006,1,1.4014040281938613,1.3059845719078267,1,-1.465529287633126,1,-0.0737841216229749,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1
0.0,0.5288031285992757,0,-1.5986026542773373,1.3059845719078267,1,-0.7020322854952114,0,-0.13025209174371058,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1
2.0,-1.0549718802184398,2,-0.06595542001357167,-0.45597753351432074,1,-0.1294095338917753,1,0.10628075405248309,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1.0,-0.7990082424297181,1,1.2443183834662044,-1.3369585862253945,1,-0.320283784426254,1,-0.018229948529089296,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2.0,0.1475239598098255,0,1.0850784213251392,1.3059845719078267,1,1.1430854696714159,0,-0.10276788885921974,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
3.0,-0.6403641127585833,0,-0.4295862467517078,1.3059845719078267,1,-0.320283784426254,0,-0.09627758689928456,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0.0,-0.5803726351518517,0,1.297518055147304,1.3059845719078267,1,-1.465529287633126,0,-0.06058092611964106,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1
3.0,1.0873904423152883,0,-1.022861325544085,-1.3369585862253945,1,-0.7020322854952114,0,-0.12734668581218728,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2.0,-0.3757350393155559,1,-0.6568667338662376,-0.45597753351432074,1,-0.320283784426254,1,-0.11230418090865518,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
3.0,-0.5823723510720761,0,0.47564596193220304,-0.45597753351432074,1,-0.320283784426254,0,-0.07917318101209075,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.0,-0.8236714054458188,3,-0.17555631842069683,-0.45597753351432074,1,1.1430854696714159,1,-0.06616914639922424,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
3.0,-0.7796776552008823,0,0.1289803848246539,0.425003519196753,1,1.4612092205622138,0,-0.06328717116069706,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1.0,-0.07044507549463276,1,-1.092218377825744,0.425003519196753,1,-0.7020322854952114,1,-0.12314087641937728,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
2.0,-0.9009937543611619,1,-0.20858918542628402,-2.217939638936468,1,1.4612092205622138,1,-0.04756517616027646,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
2.0,-0.24841979239460318,0,-1.0105338425673622,1.3059845719078267,1,-0.7020322854952114,0,-0.12020032444835971,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1
3.0,-0.23475506693973663,3,0.46654995507559216,1.3059845719078267,1,1.4612092205622138,1,-0.09934700768178097,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
3.0,0.06886846694766625,0,-1.097963224261498,-0.45597753351432074,1,1.4612092205622138,0,-0.12421868829720045,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
1.0,-0.36906931958147465,0,0.048492692573721206,-1.3369585862253945,1,1.4612092205622138,0,-0.10070598787555801,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
3.0,0.196183713868619,2,-0.6577643661218242,0.425003519196753,0,-0.1294095338917753,1,-0.12069236900127898,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
0.0,-0.8123396818978806,0,-1.164328169024535,0.425003519196753,1,1.4612092205622138,0,-0.10639964627362389,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1.0,0.7141101372067354,0,1.6747031289447978,0.425003519196753,1,-0.7020322854952114,0,-0.10753603488393745,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
0.0,-0.6636941318278679,1,-1.2575622393047976,-2.217939638936468,1,1.1430854696714159,1,-0.1167091511919325,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2.0,-0.5437111766144046,0,0.46601137572224,-2.217939638936468,1,-0.1294095338917753,0,-0.08274636169400452,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2.0,-0.03178390103696114,0,1.1426465699834272,-1.3369585862253945,1,-1.465529287633126,0,-0.09740226016310004,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
1.0,0.6101249093550674,0,0.8287146491296032,1.3059845719078267,1,-1.465529287633126,0,-0.1123510422946475,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
2.0,1.3526860877317235,0,0.1011537849014691,-1.3369585862253945,1,-0.1294095338917753,0,-0.12198105711606756,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
1.0,-0.3277418572301707,0,0.21132318373713227,1.3059845719078267,1,1.4612092205622138,0,-0.0996984680767233,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
2.0,-0.927656633297487,0,-1.7000350991586242,0.425003519196753,1,1.1430854696714159,0,-0.12440613384116969,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.0,0.16152197125139628,1,-0.3748306791609245,1.3059845719078267,1,-1.465529287633126,1,-0.11758780217928834,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
3.0,-1.0036458382660138,0,1.044026706169645,-0.45597753351432074,1,-0.320283784426254,0,0.12149898915348635,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
