ticket_id,perfil_real,perfil_conducta
TK-000112,Solicitudes rutinarias,Solicitudes rutinarias
TK-000113,Solicitudes rutinarias,Solicitudes rutinarias
TK-000114,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000115,Incidentes críticos de red,Incidentes críticos de red
TK-000116,Incidentes de seguridad,Incidentes de seguridad
TK-000117,Solicitudes rutinarias,Solicitudes rutinarias
TK-000118,Incidentes de seguridad,Incidentes de seguridad
TK-000119,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000120,Solicitudes rutinarias,Solicitudes rutinarias
TK-000121,Incidentes críticos de red,Errores recurrentes de software/ERP
TK-000122,Fallas de hardware,Fallas de hardware
TK-000123,Incidentes de seguridad,Incidentes de seguridad
TK-000124,Solicitudes rutinarias,Solicitudes rutinarias
TK-000125,Solicitudes rutinarias,Solicitudes rutinarias
TK-000126,Solicitudes rutinarias,Solicitudes rutinarias
TK-000127,Solicitudes rutinarias,Solicitudes rutinarias
TK-000128,Solicitudes rutinarias,Fallas de hardware
TK-000129,Solicitudes rutinarias,Solicitudes rutinarias
TK-000130,Solicitudes rutinarias,Solicitudes rutinarias
TK-000131,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000132,Incidentes de seguridad,Incidentes de seguridad
TK-000133,Solicitudes rutinarias,Solicitudes rutinarias
TK-000134,Casos crónicos,Casos crónicos
TK-000135,Solicitudes rutinarias,Solicitudes rutinarias
TK-000136,Solicitudes rutinarias,Solicitudes rutinarias
TK-000137,Fallas de hardware,Fallas de hardware
TK-000138,Solicitudes rutinarias,Solicitudes rutinarias
TK-000139,Solicitudes rutinarias,Solicitudes rutinarias
TK-000140,Solicitudes rutinarias,Solicitudes rutinarias
TK-000141,Solicitudes rutinarias,Solicitudes rutinarias
TK-000142,Solicitudes rutinarias,Solicitudes rutinarias
TK-000143,Solicitudes rutinarias,Solicitudes rutinarias
TK-000144,Solicitudes rutinarias,Solicitudes rutinarias
TK-000145,Incidentes de seguridad,Solicitudes rutinarias
TK-000146,Solicitudes rutinarias,Solicitudes rutinarias
TK-000147,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000148,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000149,Fallas de hardware,Fallas de hardware
TK-000150,Solicitudes rutinarias,Solicitudes rutinarias
TK-000151,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000152,Incidentes de seguridad,Incidentes de seguridad
TK-000153,Solicitudes rutinarias,Solicitudes rutinarias
TK-000154,Incidentes críticos de red,Incidentes críticos de red
TK-000155,Solicitudes rutinarias,Solicitudes rutinarias
TK-000156,Incidentes de seguridad,Incidentes de seguridad
TK-000157,Incidentes críticos de red,Incidentes críticos de red
TK-000158,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000159,Errores recurrentes de software/ERP,Solicitudes rutinarias
TK-000160,Solicitudes rutinarias,Solicitudes rutinarias
TK-000161,Solicitudes rutinarias,Solicitudes rutinarias
TK-000162,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000163,Solicitudes rutinarias,Solicitudes rutinarias
TK-000164,Solicitudes rutinarias,Solicitudes rutinarias
TK-000165,Incidentes críticos de red,Incidentes críticos de red
TK-000166,Fallas de hardware,Solicitudes rutinarias
TK-000167,Fallas de hardware,Fallas de hardware
TK-000168,Solicitudes rutinarias,Errores recurrentes de software/ERP
TK-000169,Incidentes de seguridad,Incidentes de seguridad
TK-000170,Solicitudes rutinarias,Solicitudes rutinarias
TK-000171,Solicitudes rutinarias,Solicitudes rutinarias
TK-000172,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000173,Fallas de hardware,Fallas de hardware
TK-000174,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000175,Solicitudes rutinarias,Solicitudes rutinarias
TK-000176,Solicitudes rutinarias,Solicitudes rutinarias
TK-000177,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000178,Fallas de hardware,Solicitudes rutinarias
TK-000179,Fallas de hardware,Fallas de hardware
TK-000180,Solicitudes rutinarias,Solicitudes rutinarias
TK-000181,Solicitudes rutinarias,Solicitudes rutinarias
TK-000182,Solicitudes rutinarias,Solicitudes rutinarias
TK-000183,Fallas de hardware,Fallas de hardware
TK-000184,Incidentes críticos de red,Incidentes de seguridad
TK-000185,Solicitudes rutinarias,Solicitudes rutinarias
TK-000186,Fallas de hardware,Fallas de hardware
TK-000187,Incidentes críticos de red,Incidentes críticos de red
TK-000188,Solicitudes rutinarias,Solicitudes rutinarias
TK-000189,Solicitudes rutinarias,Solicitudes rutinarias
TK-000190,Solicitudes rutinarias,Solicitudes rutinarias
TK-000191,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000192,Fallas de hardware,Fallas de hardware
TK-000193,Solicitudes rutinarias,Solicitudes rutinarias
TK-000194,Solicitudes rutinarias,Solicitudes rutinarias
TK-000195,Incidentes críticos de red,Errores recurrentes de software/ERP
TK-000196,Solicitudes rutinarias,Solicitudes rutinarias
TK-000197,Solicitudes rutinarias,Solicitudes rutinarias
TK-000198,Incidentes críticos de red,Incidentes críticos de red
TK-000199,Solicitudes rutinarias,Solicitudes rutinarias
TK-000200,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000201,Solicitudes rutinarias,Errores recurrentes de software/ERP
TK-000202,Fallas de hardware,Fallas de hardware
TK-000203,Solicitudes rutinarias,Fallas de hardware
TK-000204,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000205,Fallas de hardware,Fallas de hardware
TK-000206,Solicitudes rutinarias,Errores recurrentes de software/ERP
TK-000207,Solicitudes rutinarias,Errores recurrentes de software/ERP
TK-000208,Solicitudes rutinarias,Solicitudes rutinarias
TK-000209,Solicitudes rutinarias,Solicitudes rutinarias
TK-000210,Fallas de hardware,Fallas de hardware
TK-000211,Fallas de hardware,Fallas de hardware
TK-000212,Solicitudes rutinarias,Solicitudes rutinarias
TK-000213,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000214,Solicitudes rutinarias,Solicitudes rutinarias
TK-000215,Solicitudes rutinarias,Solicitudes rutinarias
TK-000216,Solicitudes rutinarias,Solicitudes rutinarias
TK-000217,Solicitudes rutinarias,Solicitudes rutinarias
TK-000218,Solicitudes rutinarias,Fallas de hardware
TK-000219,Solicitudes rutinarias,Solicitudes rutinarias
TK-000220,Incidentes de seguridad,Solicitudes rutinarias
TK-000221,Incidentes de seguridad,Incidentes de seguridad
TK-000222,Solicitudes rutinarias,Solicitudes rutinarias
TK-000223,Solicitudes rutinarias,Solicitudes rutinarias
TK-000224,Solicitudes rutinarias,Solicitudes rutinarias
TK-000225,Solicitudes rutinarias,Solicitudes rutinarias
TK-000226,Solicitudes rutinarias,Solicitudes rutinarias
TK-000227,Solicitudes rutinarias,Solicitudes rutinarias
TK-000228,Solicitudes rutinarias,Solicitudes rutinarias
TK-000229,Solicitudes rutinarias,Solicitudes rutinarias
TK-000230,Solicitudes rutinarias,Solicitudes rutinarias
TK-000231,Fallas de hardware,Fallas de hardware
TK-000232,Incidentes de seguridad,Incidentes de seguridad
TK-000233,Fallas de hardware,Fallas de hardware
TK-000234,Casos crónicos,Casos crónicos
TK-000235,Solicitudes rutinarias,Solicitudes rutinarias
TK-000236,Solicitudes rutinarias,Solicitudes rutinarias
TK-000237,Fallas de hardware,Fallas de hardware
TK-000238,Solicitudes rutinarias,Solicitudes rutinarias
TK-000239,Solicitudes rutinarias,Solicitudes rutinarias
TK-000240,Solicitudes rutinarias,Solicitudes rutinarias
TK-000241,Fallas de hardware,Fallas de hardware
TK-000242,Solicitudes rutinarias,Solicitudes rutinarias
TK-000243,Incidentes de seguridad,Incidentes críticos de red
TK-000244,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000245,Fallas de hardware,Fallas de hardware
TK-000246,Solicitudes rutinarias,Errores recurrentes de software/ERP
TK-000247,Solicitudes rutinarias,Solicitudes rutinarias
TK-000248,Solicitudes rutinarias,Solicitudes rutinarias
TK-000249,Solicitudes rutinarias,Errores recurrentes de software/ERP
TK-000250,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000251,Incidentes críticos de red,Incidentes críticos de red
TK-000252,Fallas de hardware,Fallas de hardware
TK-000253,Solicitudes rutinarias,Solicitudes rutinarias
TK-000254,Solicitudes rutinarias,Solicitudes rutinarias
TK-000255,Solicitudes rutinarias,Solicitudes rutinarias
TK-000256,Solicitudes rutinarias,Fallas de hardware
TK-000257,Fallas de hardware,Fallas de hardware
TK-000258,Solicitudes rutinarias,Solicitudes rutinarias
TK-000259,Solicitudes rutinarias,Solicitudes rutinarias
TK-000260,Solicitudes rutinarias,Solicitudes rutinarias
TK-000261,Solicitudes rutinarias,Solicitudes rutinarias
TK-000262,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000263,Solicitudes rutinarias,Solicitudes rutinarias
TK-000264,Solicitudes rutinarias,Solicitudes rutinarias
TK-000265,Solicitudes rutinarias,Solicitudes rutinarias
TK-000266,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000267,Solicitudes rutinarias,Fallas de hardware
TK-000268,Incidentes de seguridad,Incidentes de seguridad
TK-000269,Incidentes de seguridad,Incidentes críticos de red
TK-000270,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000271,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000272,Solicitudes rutinarias,Solicitudes rutinarias
TK-000273,Fallas de hardware,Errores recurrentes de software/ERP
TK-000274,Fallas de hardware,Errores recurrentes de software/ERP
TK-000275,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000276,Solicitudes rutinarias,Solicitudes rutinarias
TK-000277,Solicitudes rutinarias,Solicitudes rutinarias
TK-000278,Fallas de hardware,Fallas de hardware
TK-000279,Solicitudes rutinarias,Solicitudes rutinarias
TK-000280,Fallas de hardware,Fallas de hardware
TK-000281,Incidentes críticos de red,Incidentes críticos de red
TK-000282,Solicitudes rutinarias,Solicitudes rutinarias
TK-000283,Incidentes críticos de red,Incidentes críticos de red
TK-000284,Solicitudes rutinarias,Solicitudes rutinarias
TK-000285,Fallas de hardware,Fallas de hardware
TK-000286,Solicitudes rutinarias,Solicitudes rutinarias
TK-000287,Casos crónicos,Casos crónicos
TK-000288,Solicitudes rutinarias,Solicitudes rutinarias
TK-000289,Incidentes críticos de red,Incidentes críticos de red
TK-000290,Solicitudes rutinarias,Solicitudes rutinarias
TK-000291,Solicitudes rutinarias,Solicitudes rutinarias
TK-000292,Incidentes de seguridad,Incidentes de seguridad
TK-000293,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000294,Errores recurrentes de software/ERP,Casos crónicos
TK-000295,Solicitudes rutinarias,Solicitudes rutinarias
TK-000296,Solicitudes rutinarias,Solicitudes rutinarias
TK-000297,Solicitudes rutinarias,Solicitudes rutinarias
TK-000298,Solicitudes rutinarias,Solicitudes rutinarias
TK-000299,Fallas de hardware,Fallas de hardware
TK-000300,Casos crónicos,Casos crónicos
TK-000301,Incidentes críticos de red,Incidentes críticos de red
TK-000302,Solicitudes rutinarias,Solicitudes rutinarias
TK-000303,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000304,Fallas de hardware,Fallas de hardware
TK-000305,Fallas de hardware,Fallas de hardware
TK-000306,Solicitudes rutinarias,Solicitudes rutinarias
TK-000307,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000308,Solicitudes rutinarias,Solicitudes rutinarias
TK-000309,Casos crónicos,Casos crónicos
TK-000310,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000311,Incidentes de seguridad,Incidentes de seguridad
TK-000312,Fallas de hardware,Fallas de hardware
TK-000313,Errores recurrentes de software/ERP,Casos crónicos
TK-000314,Incidentes de seguridad,Incidentes de seguridad
TK-000315,Incidentes críticos de red,Incidentes de seguridad
TK-000316,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000317,Fallas de hardware,Fallas de hardware
TK-000318,Incidentes críticos de red,Incidentes críticos de red
TK-000319,Solicitudes rutinarias,Fallas de hardware
TK-000320,Errores recurrentes de software/ERP,Solicitudes rutinarias
TK-000321,Solicitudes rutinarias,Solicitudes rutinarias
TK-000322,Incidentes de seguridad,Incidentes críticos de red
TK-000323,Solicitudes rutinarias,Solicitudes rutinarias
TK-000324,Incidentes críticos de red,Incidentes críticos de red
TK-000325,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000326,Solicitudes rutinarias,Solicitudes rutinarias
TK-000327,Solicitudes rutinarias,Solicitudes rutinarias
TK-000328,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000329,Solicitudes rutinarias,Solicitudes rutinarias
TK-000330,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000331,Solicitudes rutinarias,Solicitudes rutinarias
TK-000332,Incidentes críticos de red,Incidentes críticos de red
TK-000333,Solicitudes rutinarias,Solicitudes rutinarias
TK-000334,Solicitudes rutinarias,Solicitudes rutinarias
TK-000335,Solicitudes rutinarias,Solicitudes rutinarias
TK-000336,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000337,Solicitudes rutinarias,Solicitudes rutinarias
TK-000338,Solicitudes rutinarias,Solicitudes rutinarias
TK-000339,Solicitudes rutinarias,Solicitudes rutinarias
TK-000340,Solicitudes rutinarias,Solicitudes rutinarias
TK-000341,Incidentes de seguridad,Incidentes de seguridad
TK-000342,Incidentes críticos de red,Errores recurrentes de software/ERP
TK-000343,Fallas de hardware,Fallas de hardware
TK-000344,Incidentes de seguridad,Incidentes de seguridad
TK-000345,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000346,Incidentes críticos de red,Incidentes críticos de red
TK-000347,Solicitudes rutinarias,Solicitudes rutinarias
TK-000348,Solicitudes rutinarias,Solicitudes rutinarias
TK-000349,Solicitudes rutinarias,Fallas de hardware
TK-000350,Solicitudes rutinarias,Solicitudes rutinarias
TK-000351,Fallas de hardware,Fallas de hardware
TK-000352,Solicitudes rutinarias,Errores recurrentes de software/ERP
TK-000353,Errores recurrentes de software/ERP,Solicitudes rutinarias
TK-000354,Solicitudes rutinarias,Solicitudes rutinarias
TK-000355,Fallas de hardware,Fallas de hardware
TK-000356,Solicitudes rutinarias,Solicitudes rutinarias
TK-000357,Solicitudes rutinarias,Solicitudes rutinarias
TK-000358,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000359,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000360,Solicitudes rutinarias,Solicitudes rutinarias
TK-000361,Solicitudes rutinarias,Solicitudes rutinarias
TK-000362,Solicitudes rutinarias,Fallas de hardware
TK-000363,Incidentes críticos de red,Incidentes críticos de red
TK-000364,Solicitudes rutinarias,Solicitudes rutinarias
TK-000365,Solicitudes rutinarias,Solicitudes rutinarias
TK-000366,Fallas de hardware,Fallas de hardware
TK-000367,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000368,Solicitudes rutinarias,Solicitudes rutinarias
TK-000369,Fallas de hardware,Fallas de hardware
TK-000370,Solicitudes rutinarias,Fallas de hardware
TK-000371,Solicitudes rutinarias,Solicitudes rutinarias
TK-000372,Solicitudes rutinarias,Solicitudes rutinarias
TK-000373,Solicitudes rutinarias,Solicitudes rutinarias
TK-000374,Incidentes críticos de red,Incidentes críticos de red
TK-000375,Incidentes de seguridad,Incidentes de seguridad
TK-000376,Solicitudes rutinarias,Solicitudes rutinarias
TK-000377,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000378,Incidentes de seguridad,Incidentes críticos de red
TK-000379,Errores recurrentes de software/ERP,Casos crónicos
TK-000380,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000381,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000382,Solicitudes rutinarias,Fallas de hardware
TK-000383,Solicitudes rutinarias,Solicitudes rutinarias
TK-000384,Solicitudes rutinarias,Errores recurrentes de software/ERP
TK-000385,Solicitudes rutinarias,Solicitudes rutinarias
TK-000386,Fallas de hardware,Fallas de hardware
TK-000387,Solicitudes rutinarias,Solicitudes rutinarias
TK-000388,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000389,Solicitudes rutinarias,Solicitudes rutinarias
TK-000390,Fallas de hardware,Fallas de hardware
TK-000391,Solicitudes rutinarias,Solicitudes rutinarias
TK-000392,Fallas de hardware,Errores recurrentes de software/ERP
TK-000393,Fallas de hardware,Fallas de hardware
TK-000394,Incidentes críticos de red,Incidentes críticos de red
TK-000395,Solicitudes rutinarias,Errores recurrentes de software/ERP
TK-000396,Fallas de hardware,Fallas de hardware
TK-000397,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000398,Incidentes de seguridad,Incidentes de seguridad
TK-000399,Solicitudes rutinarias,Solicitudes rutinarias
TK-000400,Errores recurrentes de software/ERP,Casos crónicos
TK-000401,Solicitudes rutinarias,Solicitudes rutinarias
TK-000402,Fallas de hardware,Fallas de hardware
TK-000403,Fallas de hardware,Fallas de hardware
TK-000404,Solicitudes rutinarias,Solicitudes rutinarias
TK-000405,Solicitudes rutinarias,Solicitudes rutinarias
TK-000406,Solicitudes rutinarias,Fallas de hardware
TK-000407,Incidentes de seguridad,Incidentes de seguridad
TK-000408,Errores recurrentes de software/ERP,Solicitudes rutinarias
TK-000409,Solicitudes rutinarias,Solicitudes rutinarias
TK-000410,Fallas de hardware,Fallas de hardware
TK-000411,Incidentes de seguridad,Incidentes de seguridad
TK-000412,Solicitudes rutinarias,Solicitudes rutinarias
TK-000413,Fallas de hardware,Fallas de hardware
TK-000414,Solicitudes rutinarias,Errores recurrentes de software/ERP
TK-000415,Solicitudes rutinarias,Solicitudes rutinarias
TK-000416,Solicitudes rutinarias,Solicitudes rutinarias
TK-000417,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000418,Fallas de hardware,Fallas de hardware
TK-000419,Solicitudes rutinarias,Fallas de hardware
TK-000420,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000421,Incidentes críticos de red,Incidentes críticos de red
TK-000422,Solicitudes rutinarias,Solicitudes rutinarias
TK-000423,Solicitudes rutinarias,Solicitudes rutinarias
TK-000424,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000425,Fallas de hardware,Fallas de hardware
TK-000426,Solicitudes rutinarias,Solicitudes rutinarias
TK-000427,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000428,Solicitudes rutinarias,Solicitudes rutinarias
TK-000429,Fallas de hardware,Errores recurrentes de software/ERP
TK-000430,Fallas de hardware,Fallas de hardware
TK-000431,Fallas de hardware,Fallas de hardware
TK-000432,Solicitudes rutinarias,Solicitudes rutinarias
TK-000433,Solicitudes rutinarias,Solicitudes rutinarias
TK-000434,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000435,Fallas de hardware,Fallas de hardware
TK-000436,Solicitudes rutinarias,Solicitudes rutinarias
TK-000437,Solicitudes rutinarias,Errores recurrentes de software/ERP
TK-000438,Solicitudes rutinarias,Solicitudes rutinarias
TK-000439,Solicitudes rutinarias,Solicitudes rutinarias
TK-000440,Solicitudes rutinarias,Solicitudes rutinarias
TK-000441,Solicitudes rutinarias,Solicitudes rutinarias
TK-000442,Fallas de hardware,Fallas de hardware
TK-000443,Fallas de hardware,Errores recurrentes de software/ERP
TK-000444,Solicitudes rutinarias,Solicitudes rutinarias
TK-000445,Solicitudes rutinarias,Solicitudes rutinarias
TK-000446,Solicitudes rutinarias,Solicitudes rutinarias
TK-000447,Solicitudes rutinarias,Fallas de hardware
TK-000448,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000449,Solicitudes rutinarias,Solicitudes rutinarias
TK-000450,Fallas de hardware,Fallas de hardware
TK-000451,Solicitudes rutinarias,Solicitudes rutinarias
TK-000452,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000453,Solicitudes rutinarias,Solicitudes rutinarias
TK-000454,Solicitudes rutinarias,Solicitudes rutinarias
TK-000455,Fallas de hardware,Fallas de hardware
TK-000456,Solicitudes rutinarias,Solicitudes rutinarias
TK-000457,Solicitudes rutinarias,Solicitudes rutinarias
TK-000458,Fallas de hardware,Fallas de hardware
TK-000459,Fallas de hardware,Fallas de hardware
TK-000460,Solicitudes rutinarias,Solicitudes rutinarias
TK-000461,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000462,Incidentes críticos de red,Incidentes críticos de red
TK-000463,Solicitudes rutinarias,Solicitudes rutinarias
TK-000464,Solicitudes rutinarias,Solicitudes rutinarias
TK-000465,Solicitudes rutinarias,Solicitudes rutinarias
TK-000466,Solicitudes rutinarias,Solicitudes rutinarias
TK-000467,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000468,Fallas de hardware,Fallas de hardware
TK-000469,Solicitudes rutinarias,Solicitudes rutinarias
TK-000470,Solicitudes rutinarias,Solicitudes rutinarias
